"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2022","244,018","242,696","245,882","242,456","","0.57%"
"11/29/2022","242,637","241,997","243,334","241,318","","0.32%"
"11/28/2022","241,863","244,734","244,821","241,516","","-0.99%"
"11/25/2022","244,279","243,323","244,611","242,757","","0.42%"
"11/24/2022","243,255","244,270","244,662","242,382","","-0.37%"
"11/23/2022","244,166","245,918","246,522","243,135","","-0.63%"
"11/22/2022","245,712","247,031","247,650","245,245","","-0.49%"
"11/21/2022","246,918","245,755","247,707","244,749","","0.55%"
"11/18/2022","245,576","246,802","247,480","244,904","","-0.48%"
"11/17/2022","246,764","247,544","247,719","245,655","","-0.30%"
"11/16/2022","247,506","247,787","248,984","246,857","","-0.10%"
"11/15/2022","247,759","247,672","249,095","245,664","","0.13%"
"11/14/2022","247,434","245,365","249,432","244,806","","0.67%"
"11/11/2022","245,783","247,510","249,799","244,324","","-0.63%"
"11/10/2022","247,337","249,985","252,407","246,296","","-1.01%"
"11/09/2022","249,866","249,576","251,411","248,113","","0.17%"
"11/08/2022","249,438","245,703","249,905","243,950","","1.55%"
"11/07/2022","245,640","247,391","247,570","244,868","","-0.31%"
"11/04/2022","246,399","241,415","246,871","241,139","","2.10%"
"11/03/2022","241,336","241,888","242,106","239,236","","-0.21%"
"11/02/2022","241,849","244,322","244,446","241,662","","-0.99%"
"11/01/2022","244,264","242,919","244,812","242,345","","0.58%"
"10/31/2022","242,848","242,742","244,250","242,374","","0.17%"
"10/28/2022","242,430","243,261","244,339","241,615","","-0.29%"
"10/27/2022","243,130","243,654","244,135","241,721","","-0.18%"
"10/26/2022","243,563","244,502","246,432","243,362","","-0.36%"
"10/25/2022","244,454","245,687","246,526","243,921","","-0.52%"
"10/24/2022","245,732","244,613","248,112","242,331","","0.47%"
"10/21/2022","244,594","244,463","248,807","241,446","","0.11%"
